,区分,調査数,自己の携帯電話(自国で使用しているもの),レンタル携帯電話,近くの人に連絡を頼む,連絡手段はない
0,全体,1127.0,813.0,193.0,110.0,11.0
1,全体(%),100.0,72.1,17.1,9.8,1.0
