,事業名,公単別,事業内容,事業主体,事業費（千円）,負担区分国（千円）,負担区分都（千円）,負担区分村（千円）
0,基盤整備促進事業,公,薄木農道舗／装測量設計,三宅村,8964,4930,1792,2242
1,地域農業水利施設ストックマネジメント事業,公,笠地貯水池／パイプライン改修工事,三宅村,45774,25175,9155,11444
2,農業水利施設保全合理化事業,公,笠地貯水池管理道舗装／測量設計,三宅村,7236,3980,1447,1809
3,小規模土地改良事業,単,笠地貯水池　浄水場余剰水活用の検討／基本設計,三宅村,972,－,388,584
4,小規模土地改良事業,単,南郷農業用地下水調査／基本設計,御蔵島村,2000,－,800,1200
