,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%)
0,全体,1127,15.7,35.5,42.1,6.7
1,対策あり層,775,17.3,36.0,42.3,4.4
2,対策なし層,341,11.4,34.0,42.8,11.7
