,島別,設立,組合員数正（人）,組合員数准（人）,組合員数計（人）,役員数理（人）,役員数監事（人）,職員数（人）
0,三宅島,45.12.16,159,914,1073,7,3,5
1,御蔵島,25.2.6,64,4,68,5,2,3
