,区分,10名以下,11～20名,21～30名,31～40名,41～50名,51名以上,無回答,全体
0,現在の人数_n(団体数)=1034,133.0,206.0,175.0,86.0,83.0,262.0,89.0,127304
1,現在の人数（割合）(%)_n(団体数)=1034,12.9,19.9,16.9,8.3,8.0,25.3,8.6,100
2,結成時の人数_n(団体数)=1034,166.0,191.0,114.0,75.0,44.0,149.0,295.0,58595
3,結成時の人数（割合）(%)_n(団体数)=1034,16.1,18.5,11.0,7.3,4.3,14.4,28.5,100
