,学校別,進学者都立三宅高等学校（人）,進学者島外（人）,その他島内（人）,その他島外（人）,卒業者数（人）,進学率（％）
0,三宅,11,1,0,0,12,100
1,御蔵島,0,6,0,0,6,100
2,計,11,7,0,0,18,100
