,区分,n,非常に安心(%),安心(%),不安(%),非常に不安(%)
0,全体,1127,15.7,35.5,42.1,6.7
1,対策あり層,836,17.1,36.2,42.3,4.3
2,対策なし層,284,10.9,33.5,41.9,13.7
