,区分,団体数,団体数／割合(%)
0,ゴミの散乱・落書きなどの行為,440,42.6
1,近所にどのような人が住んでいるかわからない,270,26.1
2,特になし,227,22.0
3,少年の横暴な行動・非行行為,179,17.3
4,暴走族による危険な行為や騒音,162,15.7
5,子供が見知らぬ人に声をかけられる,143,13.8
6,街頭での勧誘活動,120,11.6
7,見知らぬ人をよく見かける,86,8.3
8,その他,62,6.0
9,無回答,80,7.7
