,年度（年）,転用（４条許可）件数（件）,転用（４条許可）面積（ｍ２）,転用のための所有権移転（５条許可）件数（件）,転用のための所有権移転（５条許可）面積（ｍ２）
0,25,0,0,0,0
1,26,1,562,0,0
2,27,0,0,0,291
