,区分,三宅村神着,三宅村伊豆,三宅村伊ヶ谷,三宅村阿古,三宅村坪田,三宅村島外,御蔵島,合計
0,世帯,6,6,2,27,5,11,0,57
1,人員,7,6,3,34,8,13,0,71
