,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,0.2,2.2,14.8,81.9,0.8
1,19,0.8,2.7,17.2,78.6,0.7
2,14,0.9,3.8,17.5,75.6,2.2
3,9,0.4,4.9,23.9,70.3,0.5
