,年次,総数,建物火災件数_総数,建物火災件数_全焼,建物火災件数_半焼,建物火災件数_部分焼,建物火災件数_ぼや,建物外_自動車両,建物外_その他,り災世帯,り災世帯人数,焼失面積(平方メートル),損害見積額（千円）,死傷者数_総数,死傷者数_死者,死傷者数_負傷者,総数_1月,建物火災件数_総数_1月,建物火災件数_全焼_1月,建物火災件数_半焼_1月,建物火災件数_部分焼_1月,建物火災件数_ぼや_1月,建物外_自動車両_1月,建物外_その他_1月,り災世帯_1月,り災世帯人数_1月,焼失面積(平方メートル)_1月,損害見積額（千円）_1月,死傷者数_総数_1月,死傷者数_死者_1月,死傷者数_負傷者_1月,総数_2月,建物火災件数_総数_2月,建物火災件数_全焼_2月,建物火災件数_半焼_2月,建物火災件数_部分焼_2月,建物火災件数_ぼや_2月,建物外_自動車両_2月,建物外_その他_2月,り災世帯_2月,り災世帯人数_2月,焼失面積(平方メートル)_2月,損害見積額（千円）_2月,死傷者数_総数_2月,死傷者数_死者_2月,死傷者数_負傷者_2月,総数_3月,建物火災件数_総数_3月,建物火災件数_全焼_3月,建物火災件数_半焼_3月,建物火災件数_部分焼_3月,建物火災件数_ぼや_3月,建物外_自動車両_3月,建物外_その他_3月,り災世帯_3月,り災世帯人数_3月,焼失面積(平方メートル)_3月,損害見積額（千円）_3月,死傷者数_総数_3月,死傷者数_死者_3月,死傷者数_負傷者_3月,総数_4月,建物火災件数_総数_4月,建物火災件数_全焼_4月,建物火災件数_半焼_4月,建物火災件数_部分焼_4月,建物火災件数_ぼや_4月,建物外_自動車両_4月,建物外_その他_4月,り災世帯_4月,り災世帯人数_4月,焼失面積(平方メートル)_4月,損害見積額（千円）_4月,死傷者数_総数_4月,死傷者数_死者_4月,死傷者数_負傷者_4月,総数_5月,建物火災件数_総数_5月,建物火災件数_全焼_5月,建物火災件数_半焼_5月,建物火災件数_部分焼_5月,建物火災件数_ぼや_5月,建物外_自動車両_5月,建物外_その他_5月,り災世帯_5月,り災世帯人数_5月,焼失面積(平方メートル)_5月,損害見積額（千円）_5月,死傷者数_総数_5月,死傷者数_死者_5月,死傷者数_負傷者_5月,総数_6月,建物火災件数_総数_6月,建物火災件数_全焼_6月,建物火災件数_半焼_6月,建物火災件数_部分焼_6月,建物火災件数_ぼや_6月,建物外_自動車両_6月,建物外_その他_6月,り災世帯_6月,り災世帯人数_6月,焼失面積(平方メートル)_6月,損害見積額（千円）_6月,死傷者数_総数_6月,死傷者数_死者_6月,死傷者数_負傷者_6月,総数_7月,建物火災件数_総数_7月,建物火災件数_全焼_7月,建物火災件数_半焼_7月,建物火災件数_部分焼_7月,建物火災件数_ぼや_7月,建物外_自動車両_7月,建物外_その他_7月,り災世帯_7月,り災世帯人数_7月,焼失面積(平方メートル)_7月,損害見積額（千円）_7月,死傷者数_総数_7月,死傷者数_死者_7月,死傷者数_負傷者_7月,総数_8月,建物火災件数_総数_8月,建物火災件数_全焼_8月,建物火災件数_半焼_8月,建物火災件数_部分焼_8月,建物火災件数_ぼや_8月,建物外_自動車両_8月,建物外_その他_8月,り災世帯_8月,り災世帯人数_8月,焼失面積(平方メートル)_8月,損害見積額（千円）_8月,死傷者数_総数_8月,死傷者数_死者_8月,死傷者数_負傷者_8月,総数_9月,建物火災件数_総数_9月,建物火災件数_全焼_9月,建物火災件数_半焼_9月,建物火災件数_部分焼_9月,建物火災件数_ぼや_9月,建物外_自動車両_9月,建物外_その他_9月,り災世帯_9月,り災世帯人数_9月,焼失面積(平方メートル)_9月,損害見積額（千円）_9月,死傷者数_総数_9月,死傷者数_死者_9月,死傷者数_負傷者_9月,総数_10月,建物火災件数_総数_10月,建物火災件数_全焼_10月,建物火災件数_半焼_10月,建物火災件数_部分焼_10月,建物火災件数_ぼや_10月,建物外_自動車両_10月,建物外_その他_10月,り災世帯_10月,り災世帯人数_10月,焼失面積(平方メートル)_10月,損害見積額（千円）_10月,死傷者数_総数_10月,死傷者数_死者_10月,死傷者数_負傷者_10月,総数_11月,建物火災件数_総数_11月,建物火災件数_全焼_11月,建物火災件数_半焼_11月,建物火災件数_部分焼_11月,建物火災件数_ぼや_11月,建物外_自動車両_11月,建物外_その他_11月,り災世帯_11月,り災世帯人数_11月,焼失面積(平方メートル)_11月,損害見積額（千円）_11月,死傷者数_総数_11月,死傷者数_死者_11月,死傷者数_負傷者_11月,総数_12月,建物火災件数_総数_12月,建物火災件数_全焼_12月,建物火災件数_半焼_12月,建物火災件数_部分焼_12月,建物火災件数_ぼや_12月,建物外_自動車両_12月,建物外_その他_12月,り災世帯_12月,り災世帯人数_12月,焼失面積(平方メートル)_12月,損害見積額（千円）_12月,死傷者数_総数_12月,死傷者数_死者_12月,死傷者数_負傷者_12月
10,1980,106,62,13,4,3,42,5,39,91,242,1723,221266,25,3,22,13,6,1,0,0,5,0,7,7,18,263,10940,1,0,1,14,6,2,0,0,4,1,7,6,19,217,22323,2,0,2,11,5,1,0,0,4,0,6,9,31,142,25189,0,0,0,11,9,3,0,0,6,0,2,17,55,346,47937,6,0,6,7,4,1,0,0,3,0,3,6,19,192,32678,2,0,2,9,7,0,1,1,5,0,2,7,20,80,18180,3,0,3,5,3,1,0,0,2,1,1,6,15,97,12830,2,0,2,2,2,0,1,0,1,0,0,3,9,22,6681,0,0,0,6,4,1,1,0,2,1,1,3,3,124,17123,0,0,0,11,6,3,0,0,3,1,4,3,12,96,3787,1,1,0,5,2,0,0,0,2,0,3,2,6,0,41,2,0,2,12,8,0,1,2,5,1,3,22,35,144,23553,6,2,4
11,1981,113,63,9,4,4,46,7,43,86,224,987,171821,16,1,15,14,7,0,0,1,6,1,6,7,13,15,4607,1,0,1,12,6,2,0,0,4,0,6,9,30,143,18500,3,0,3,11,4,0,0,0,4,0,7,3,10,0,228,0,0,0,7,2,0,0,0,2,1,4,1,2,0,2,2,1,1,7,4,1,0,1,2,1,2,7,9,79,3497,0,0,0,4,2,0,0,0,2,1,1,1,2,0,21,0,0,0,6,3,0,0,0,3,0,3,2,7,0,196,1,0,1,4,4,0,0,0,4,0,0,3,9,0,13,1,0,1,8,4,0,1,0,3,3,1,5,12,25,11593,1,0,1,13,9,1,3,1,4,0,4,25,72,326,57416,1,0,1,12,9,3,0,0,6,0,3,15,32,279,56530,5,0,5,15,9,2,0,1,6,0,6,8,26,120,19224,1,0,1
12,1982,115,69,10,5,2,52,3,43,59,178,1390,216194,22,0,22,17,7,0,0,0,7,0,10,5,8,0,352,0,0,0,10,8,3,0,0,5,0,2,7,19,128,23313,0,0,0,17,8,0,1,0,7,1,8,6,16,33,11258,4,0,4,14,8,2,0,0,6,0,6,7,31,679,102423,3,0,3,9,7,2,0,0,5,1,1,6,20,105,8455,3,0,3,7,6,2,1,1,2,0,1,7,20,302,33325,1,0,1,4,3,0,1,0,2,0,1,4,15,20,4649,0,0,0,8,4,0,0,0,4,0,4,3,8,0,8980,5,0,5,7,4,1,0,0,3,0,3,3,8,60,8021,5,0,5,8,5,0,1,1,3,1,2,3,9,28,3960,1,0,1,5,3,0,0,0,3,0,2,3,6,0,998,0,0,0,9,6,0,1,0,5,0,3,5,18,35,10460,0,0,0
13,1983,111,51,9,2,4,36,11,49,64,169,813,159046,21,3,18,15,10,2,0,2,6,0,5,18,43,199,29845,5,0,5,16,4,1,0,0,3,0,12,3,7,18,978,1,1,0,5,2,0,0,0,2,0,3,3,12,0,29,1,0,1,12,4,1,0,0,3,3,5,6,16,98,5631,5,0,5,5,2,0,1,0,1,0,3,2,7,87,36662,0,0,0,8,3,0,0,0,3,1,4,4,10,0,268,0,0,0,8,6,0,0,0,6,0,2,5,15,0,55,1,0,1,9,5,0,0,1,4,0,4,5,14,30,7413,0,0,0,7,3,1,0,0,2,1,3,5,11,50,7509,1,0,1,4,2,1,0,0,1,1,1,5,13,94,20418,1,1,0,7,3,2,0,0,1,1,3,3,9,193,39816,1,1,0,15,7,1,1,1,4,4,4,5,12,44,10422,5,0,5
14,1984,97,42,0,3,7,32,12,43,41,134,787,66720,16,0,16,5,2,0,0,0,2,0,3,2,8,0,6,0,0,0,8,4,0,0,0,4,1,3,4,14,0,368,1,0,1,13,5,0,1,1,3,1,7,11,33,91,12364,3,0,3,11,5,0,0,0,5,0,6,3,9,1,2301,2,0,2,11,2,0,0,0,2,1,8,2,3,3,150,1,0,1,8,4,0,1,0,3,2,2,5,23,45,6320,1,0,1,7,3,0,0,1,2,1,3,1,7,35,7359,0,0,0,5,2,0,0,0,2,0,3,0,0,0,70,0,0,0,9,7,0,0,2,5,1,1,4,10,11,2051,2,0,2,5,2,0,0,1,1,1,2,2,6,10,1600,0,0,0,10,3,0,1,1,1,3,4,4,10,581,31776,4,0,4,5,3,0,0,1,2,1,1,3,11,10,2355,2,0,2
15,1985,102,47,7,3,5,32,11,44,53,152,785,235579,23,4,19,20,6,1,1,0,4,2,12,14,24,230,44790,1,0,1,14,6,2,1,0,3,0,8,5,29,243,42373,4,2,2,5,3,2,0,0,1,1,1,4,15,170,37870,0,0,0,13,4,1,0,0,3,1,8,4,16,7,2148,7,0,7,6,3,0,0,0,3,0,3,2,3,0,594,1,1,0,6,5,0,0,1,4,0,1,3,7,68,92276,2,0,2,2,1,0,0,0,1,1,0,1,4,0,386,1,0,1,11,5,0,1,0,4,0,6,3,11,5,363,2,0,2,6,6,1,0,1,4,0,0,9,26,42,9279,2,0,2,6,2,0,0,1,1,3,1,2,8,13,3557,1,0,1,6,3,0,0,1,2,1,2,1,2,0,1225,1,1,0,7,3,0,0,1,2,2,2,5,7,240,35590,5,0,5
16,1986,106,45,8,6,4,27,7,54,94,250,1113,186719,32,4,28,11,3,0,1,0,2,0,8,11,33,100,25709,0,0,0,8,3,1,0,1,1,0,5,8,25,91,20968,1,0,1,5,0,0,0,0,0,0,5,0,0,0,2,1,1,0,14,3,3,0,0,0,1,10,5,18,291,32082,0,0,0,7,4,1,0,0,3,1,2,6,20,75,13769,10,0,10,5,2,0,0,1,1,0,3,2,7,0,124,4,0,4,8,6,0,1,0,5,2,0,7,34,38,5501,3,0,3,7,3,0,0,0,3,1,3,3,4,0,320,2,0,2,5,4,0,0,0,4,0,1,3,7,0,509,2,0,2,13,9,2,1,2,4,0,4,22,45,322,72873,2,0,2,7,4,1,1,0,2,1,2,10,33,84,2037,3,0,3,16,4,0,2,0,2,1,11,17,24,112,12825,4,3,1
17,1987,95,49,3,2,4,40,13,33,54,138,286,138990,14,2,12,10,6,0,1,0,5,0,4,6,15,35,29755,3,0,3,8,6,1,0,1,4,0,2,9,22,104,15163,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1432,1,0,1,9,2,0,0,0,2,3,4,1,1,0,13145,0,0,0,10,6,1,0,0,5,1,3,2,5,2,92,0,0,0,7,3,1,0,0,2,1,3,8,21,52,18049,2,0,2,14,6,0,0,1,5,3,5,5,13,5,9392,2,0,2,2,2,0,0,0,2,0,0,1,2,0,15,1,0,1,3,3,0,0,1,2,0,0,6,19,36,29041,2,0,2,11,5,0,0,0,5,2,4,2,6,0,227,0,0,0,7,2,0,0,1,1,1,4,6,12,20,4042,0,0,0,12,6,0,1,0,5,2,4,8,22,32,18637,3,2,1
18,1988,126,50,9,1,6,34,14,62,56,151,797,183874,14,5,9,19,5,1,0,0,4,1,13,6,17,83,31563,1,1,0,15,6,3,0,1,2,1,8,7,26,225,43813,1,0,1,18,8,2,0,1,5,2,8,5,17,61,8977,2,2,0,5,3,0,0,1,2,0,2,8,14,45,7985,1,0,1,11,5,1,0,0,4,2,4,7,22,76,8725,2,0,2,5,3,0,0,1,2,1,1,6,14,34,4533,1,1,0,3,1,0,0,0,1,0,2,1,4,0,19,0,0,0,6,2,0,0,0,2,0,4,2,3,0,321,2,0,2,8,4,0,0,0,4,2,2,2,5,0,23431,1,0,1,9,2,0,0,0,2,2,5,0,0,0,108,1,1,0,11,5,0,0,2,3,1,5,3,8,47,11617,1,0,1,16,6,2,1,0,3,2,8,9,21,226,42782,1,0,1
19,1989,113,54,5,7,3,39,17,42,65,161,1161,321203,17,6,11,10,5,0,1,2,2,0,5,4,7,58,14811,1,0,1,10,4,0,1,0,3,2,4,1,5,60,14202,0,0,0,17,10,2,1,0,7,1,6,23,56,312,32026,3,3,0,16,2,0,0,0,2,5,9,2,6,0,2225,1,0,1,7,4,0,1,0,3,0,3,3,8,230,58513,1,0,1,7,4,0,2,1,1,1,2,9,14,237,165996,3,1,2,4,1,0,1,0,0,2,1,5,5,29,4201,0,0,0,8,5,0,0,0,5,0,3,5,25,0,834,0,0,0,5,2,0,0,0,2,1,2,1,4,0,1499,0,0,0,14,7,1,0,0,6,3,4,3,8,34,3889,4,1,3,4,2,1,0,0,1,1,1,3,8,108,17851,1,0,1,11,8,1,0,0,7,1,2,6,15,93,5156,3,1,2
