,年次,総数,建物火災件数_総数,建物火災件数_全焼,建物火災件数_半焼,建物火災件数_部分焼,建物火災件数_ぼや,建物外_自動車両,建物外_その他,り災世帯,り災世帯人数,焼失面積(平方メートル),損害見積額（千円）,死傷者数_総数,死傷者数_死者,死傷者数_負傷者,総数_1月,建物火災件数_総数_1月,建物火災件数_全焼_1月,建物火災件数_半焼_1月,建物火災件数_部分焼_1月,建物火災件数_ぼや_1月,建物外_自動車両_1月,建物外_その他_1月,り災世帯_1月,り災世帯人数_1月,焼失面積(平方メートル)_1月,損害見積額（千円）_1月,死傷者数_総数_1月,死傷者数_死者_1月,死傷者数_負傷者_1月,総数_2月,建物火災件数_総数_2月,建物火災件数_全焼_2月,建物火災件数_半焼_2月,建物火災件数_部分焼_2月,建物火災件数_ぼや_2月,建物外_自動車両_2月,建物外_その他_2月,り災世帯_2月,り災世帯人数_2月,焼失面積(平方メートル)_2月,損害見積額（千円）_2月,死傷者数_総数_2月,死傷者数_死者_2月,死傷者数_負傷者_2月,総数_3月,建物火災件数_総数_3月,建物火災件数_全焼_3月,建物火災件数_半焼_3月,建物火災件数_部分焼_3月,建物火災件数_ぼや_3月,建物外_自動車両_3月,建物外_その他_3月,り災世帯_3月,り災世帯人数_3月,焼失面積(平方メートル)_3月,損害見積額（千円）_3月,死傷者数_総数_3月,死傷者数_死者_3月,死傷者数_負傷者_3月,総数_4月,建物火災件数_総数_4月,建物火災件数_全焼_4月,建物火災件数_半焼_4月,建物火災件数_部分焼_4月,建物火災件数_ぼや_4月,建物外_自動車両_4月,建物外_その他_4月,り災世帯_4月,り災世帯人数_4月,焼失面積(平方メートル)_4月,損害見積額（千円）_4月,死傷者数_総数_4月,死傷者数_死者_4月,死傷者数_負傷者_4月,総数_5月,建物火災件数_総数_5月,建物火災件数_全焼_5月,建物火災件数_半焼_5月,建物火災件数_部分焼_5月,建物火災件数_ぼや_5月,建物外_自動車両_5月,建物外_その他_5月,り災世帯_5月,り災世帯人数_5月,焼失面積(平方メートル)_5月,損害見積額（千円）_5月,死傷者数_総数_5月,死傷者数_死者_5月,死傷者数_負傷者_5月,総数_6月,建物火災件数_総数_6月,建物火災件数_全焼_6月,建物火災件数_半焼_6月,建物火災件数_部分焼_6月,建物火災件数_ぼや_6月,建物外_自動車両_6月,建物外_その他_6月,り災世帯_6月,り災世帯人数_6月,焼失面積(平方メートル)_6月,損害見積額（千円）_6月,死傷者数_総数_6月,死傷者数_死者_6月,死傷者数_負傷者_6月,総数_7月,建物火災件数_総数_7月,建物火災件数_全焼_7月,建物火災件数_半焼_7月,建物火災件数_部分焼_7月,建物火災件数_ぼや_7月,建物外_自動車両_7月,建物外_その他_7月,り災世帯_7月,り災世帯人数_7月,焼失面積(平方メートル)_7月,損害見積額（千円）_7月,死傷者数_総数_7月,死傷者数_死者_7月,死傷者数_負傷者_7月,総数_8月,建物火災件数_総数_8月,建物火災件数_全焼_8月,建物火災件数_半焼_8月,建物火災件数_部分焼_8月,建物火災件数_ぼや_8月,建物外_自動車両_8月,建物外_その他_8月,り災世帯_8月,り災世帯人数_8月,焼失面積(平方メートル)_8月,損害見積額（千円）_8月,死傷者数_総数_8月,死傷者数_死者_8月,死傷者数_負傷者_8月,総数_9月,建物火災件数_総数_9月,建物火災件数_全焼_9月,建物火災件数_半焼_9月,建物火災件数_部分焼_9月,建物火災件数_ぼや_9月,建物外_自動車両_9月,建物外_その他_9月,り災世帯_9月,り災世帯人数_9月,焼失面積(平方メートル)_9月,損害見積額（千円）_9月,死傷者数_総数_9月,死傷者数_死者_9月,死傷者数_負傷者_9月,総数_10月,建物火災件数_総数_10月,建物火災件数_全焼_10月,建物火災件数_半焼_10月,建物火災件数_部分焼_10月,建物火災件数_ぼや_10月,建物外_自動車両_10月,建物外_その他_10月,り災世帯_10月,り災世帯人数_10月,焼失面積(平方メートル)_10月,損害見積額（千円）_10月,死傷者数_総数_10月,死傷者数_死者_10月,死傷者数_負傷者_10月,総数_11月,建物火災件数_総数_11月,建物火災件数_全焼_11月,建物火災件数_半焼_11月,建物火災件数_部分焼_11月,建物火災件数_ぼや_11月,建物外_自動車両_11月,建物外_その他_11月,り災世帯_11月,り災世帯人数_11月,焼失面積(平方メートル)_11月,損害見積額（千円）_11月,死傷者数_総数_11月,死傷者数_死者_11月,死傷者数_負傷者_11月,総数_12月,建物火災件数_総数_12月,建物火災件数_全焼_12月,建物火災件数_半焼_12月,建物火災件数_部分焼_12月,建物火災件数_ぼや_12月,建物外_自動車両_12月,建物外_その他_12月,り災世帯_12月,り災世帯人数_12月,焼失面積(平方メートル)_12月,損害見積額（千円）_12月,死傷者数_総数_12月,死傷者数_死者_12月,死傷者数_負傷者_12月
20,1990,101,57,6,0,6,45,6,38,77,188,847,119206,6,1,5,13,7,1,0,2,4,0,6,5,15,167,27625,0,0,0,10,3,2,0,0,1,1,6,12,35,299,32530,0,0,0,11,6,1,0,0,5,1,4,10,23,160,22020,0,0,0,9,6,0,0,1,5,0,3,3,9,20,6958,2,0,2,7,5,1,0,0,4,1,1,4,16,58,9504,1,0,1,7,5,0,0,1,4,1,1,7,27,68,12555,0,0,0,7,2,0,0,0,2,1,4,1,1,0,94,0,0,0,6,3,0,0,0,3,0,3,2,3,0,58,1,0,1,5,4,0,0,0,4,0,1,3,11,0,229,1,0,1,6,3,0,0,0,3,0,3,1,2,0,896,0,0,0,7,5,0,0,2,3,0,2,22,29,35,4641,1,1,0,13,8,1,0,0,7,1,4,7,17,40,2096,0,0,0
21,1991,97,50,6,5,7,32,5,42,79,190,882,141341,25,2,23,12,9,3,1,1,4,0,3,18,53,345,44584,2,1,1,12,7,1,2,2,2,0,5,18,28,199,27291,9,1,8,12,4,0,0,0,4,0,8,4,12,2,268,1,0,1,8,3,0,0,0,3,3,2,4,6,3,1402,1,0,1,12,5,0,1,1,3,0,7,6,17,48,26187,5,0,5,10,6,1,0,2,3,0,4,8,13,86,19169,0,0,0,5,3,0,0,0,3,0,2,2,5,0,84,3,0,3,3,1,0,0,0,1,0,2,0,0,0,5123,1,0,1,2,1,0,0,0,1,0,1,1,5,0,2,0,0,0,10,5,0,1,1,3,1,4,5,12,48,15895,2,0,2,3,1,0,0,0,1,1,1,0,0,0,649,0,0,0,8,5,1,0,0,4,0,3,13,39,151,687,1,0,1
22,1992,97,42,3,2,4,33,9,46,59,179,540,202443,21,3,18,8,2,0,0,1,1,0,6,11,36,55,32433,3,1,2,8,2,0,1,0,1,2,4,2,7,36,29498,2,0,2,7,2,0,0,0,2,2,3,2,3,0,1394,0,0,0,8,5,1,0,0,4,0,3,8,29,149,48472,2,1,1,7,3,0,0,0,3,0,4,1,3,0,78,1,0,1,2,2,0,0,0,2,0,0,1,5,0,5,0,0,0,7,1,0,0,0,1,0,6,0,0,0,27665,0,0,0,12,6,1,0,0,5,1,5,10,30,85,13686,3,0,3,10,3,0,0,1,2,0,7,14,41,67,16878,2,0,2,12,4,0,0,0,4,2,6,0,0,0,755,2,0,2,7,4,1,0,1,2,1,2,7,12,99,7971,1,0,1,9,8,0,1,1,6,1,0,3,13,49,23608,5,1,4
23,1993,130,55,7,3,6,39,13,62,57,153,1234,321668,18,0,18,13,9,1,0,2,6,0,4,8,27,244,109207,3,0,3,23,7,1,1,0,5,1,15,7,18,79,26481,2,0,2,6,1,0,0,0,1,2,3,0,0,0,1127,0,0,0,11,7,2,0,0,5,2,2,7,18,269,39439,5,0,5,8,5,3,0,0,2,0,3,11,28,335,55880,1,0,1,7,4,0,0,0,4,1,2,2,6,0,281,0,0,0,14,8,0,1,2,5,0,6,8,28,52,8063,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,3,0,0,0,3,2,1,2,4,0,566,5,0,5,25,2,0,0,0,2,2,21,0,0,0,445,0,0,0,9,5,0,0,1,4,2,2,6,9,45,12334,1,0,1,6,4,0,1,1,2,1,1,6,15,210,67845,0,0,0
24,1994,108,36,8,7,3,18,10,62,42,136,1667,324607,10,0,10,8,2,1,0,0,1,0,6,2,6,50,15978,0,0,0,11,6,2,1,1,2,0,5,7,20,323,78130,1,0,1,9,1,0,0,1,0,0,8,0,0,40,6437,1,0,1,7,1,0,0,0,1,0,6,0,0,0,1,0,0,0,13,2,1,0,0,1,2,9,0,0,736,20582,1,0,1,10,4,0,1,0,3,3,3,9,15,37,10147,1,0,1,11,3,0,0,1,2,1,7,3,6,27,6590,1,0,1,11,4,0,2,0,2,2,5,5,22,80,26476,2,0,2,5,2,1,0,0,1,0,3,1,3,50,17095,0,0,0,5,3,2,0,0,1,0,2,2,10,141,42815,3,0,3,8,7,1,2,0,4,0,1,8,30,117,69861,0,0,0,10,1,0,1,0,0,2,7,5,24,66,30495,0,0,0
25,1995,117,62,7,5,20,30,10,45,86,243,1178,277184,13,2,11,10,6,1,1,1,3,1,3,4,14,110,42756,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,10,2,1,5,2,2,1,18,45,269,46756,3,1,2,14,8,2,0,1,5,2,4,14,46,350,52045,1,0,1,11,8,1,2,1,4,1,2,18,51,235,67691,3,0,3,6,4,0,0,1,3,0,2,1,2,0,3962,0,0,0,11,5,0,0,2,3,2,4,13,36,49,7584,1,0,1,12,3,0,0,1,2,1,8,1,4,1,418,0,0,0,7,6,0,0,3,3,0,1,7,12,23,6879,2,0,2,7,2,0,0,2,0,0,5,1,3,2,1318,0,0,0,9,4,0,0,3,1,0,5,3,12,52,38651,1,0,1,11,6,1,1,0,4,1,4,6,18,87,9124,2,1,1
26,1996,94,48,2,5,9,32,9,37,57,148,721,128624,25,2,23,10,6,0,1,1,4,0,4,3,6,398,61568,1,0,1,8,2,0,1,0,1,0,6,0,0,40,3023,0,0,0,8,4,0,0,2,2,1,3,4,12,15,14799,3,0,3,8,4,0,0,3,1,0,4,9,30,50,13659,1,0,1,7,1,0,0,0,1,4,2,1,5,0,1542,2,1,1,8,5,0,0,1,4,0,3,6,11,1,1265,3,0,3,7,6,1,0,0,5,0,1,8,22,3,15160,1,0,1,3,2,0,0,0,2,1,0,0,0,0,60,0,0,0,10,4,0,0,0,4,1,5,4,14,0,369,5,0,5,6,3,0,0,0,3,1,2,2,6,0,50,1,0,1,9,7,1,1,2,3,0,2,15,30,149,16688,4,1,3,10,4,0,2,0,2,1,5,5,12,65,441,4,0,4
27,1997,146,70,2,3,18,47,19,57,73,199,294,101107,30,5,25,12,6,0,1,2,3,1,5,5,12,44,18278,6,2,4,14,6,0,0,2,4,1,7,10,24,33,6259,2,0,2,15,6,1,0,1,4,2,7,4,7,33,4361,0,0,0,10,4,0,0,1,3,2,4,7,26,0,2224,6,0,6,11,7,0,0,2,5,2,2,8,27,14,5065,4,0,4,18,4,0,1,0,3,1,13,4,11,25,16205,1,0,1,16,5,1,1,0,3,3,8,6,20,37,8556,2,1,1,9,6,0,0,2,4,1,2,6,6,0,363,1,0,1,5,3,0,0,2,1,2,0,5,7,15,5274,0,0,0,14,11,0,0,3,8,1,2,9,30,89,16343,5,2,3,12,7,0,0,2,5,2,3,5,21,0,17325,0,0,0,10,5,0,0,1,4,1,4,4,8,4,854,3,0,3
28,1998,98,56,3,3,15,35,9,33,53,123,597,129364,21,4,17,13,6,1,1,2,2,2,5,9,27,141,26043,1,0,1,7,5,0,1,3,1,0,2,12,17,147,37399,5,2,3,15,8,0,0,1,7,0,7,6,13,0,194,2,0,2,7,5,0,0,2,3,0,2,4,11,36,15262,1,0,1,9,6,1,1,1,3,2,1,6,13,184,35461,2,0,2,10,5,0,0,2,3,0,5,3,9,24,1120,0,0,0,7,6,0,0,1,5,0,1,4,10,0,129,4,0,4,6,5,1,0,0,4,0,1,3,6,5,1395,2,1,1,2,1,0,0,0,1,0,1,1,4,0,9,0,0,0,6,4,0,0,0,4,2,0,1,2,0,178,0,0,0,10,3,0,0,2,1,1,6,1,5,0,248,2,0,2,6,2,0,0,1,1,2,2,3,6,60,11926,2,1,1
29,1999,90,40,5,3,13,19,15,35,60,155,809,216507,23,2,21,8,2,1,0,0,1,4,2,7,16,138,15503,1,1,0,6,2,1,1,0,0,1,3,14,43,145,58255,3,0,3,12,8,1,0,6,1,0,4,9,21,126,39237,8,1,7,6,4,0,1,0,3,1,1,4,10,200,59832,1,0,1,8,5,0,0,0,5,0,3,4,11,0,1991,0,0,0,7,3,0,0,1,2,0,4,0,0,0,3601,2,0,2,6,0,0,0,0,0,2,4,0,0,0,72,0,0,0,4,1,0,0,0,1,1,2,0,0,0,115,0,0,0,7,1,0,0,1,0,3,3,0,0,5,809,3,0,3,14,8,1,1,1,5,1,5,6,16,34,5002,2,0,2,2,1,0,0,1,0,0,1,0,0,2,744,0,0,0,10,5,1,0,3,1,2,3,16,38,159,31346,3,0,3
30,2000,124,53,1,3,19,30,12,59,88,237,414,82803,38,2,36,14,7,1,2,2,2,1,6,32,90,250,47172,26,1,25,14,6,0,0,2,4,0,8,4,8,15,1136,1,0,1,7,2,0,0,1,1,0,5,1,4,10,20454,2,0,2,20,7,0,1,3,3,1,12,16,35,69,11606,6,1,5,9,4,0,0,2,2,1,4,3,9,3,826,0,0,0,7,2,0,0,0,2,1,4,2,8,0,2487,0,0,0,8,2,0,0,1,1,1,5,1,6,0,70,2,0,2,12,7,0,0,3,4,0,5,10,20,14,4561,1,0,1,15,9,0,0,4,5,2,4,18,53,53,11914,0,0,0,6,2,0,0,1,1,2,2,0,0,0,727,0,0,0,6,5,0,0,0,5,1,0,1,4,0,258,0,0,0,6,0,0,0,0,0,2,4,0,0,0,1,0,0,0
31,2001,97,49,5,3,7,34,4,44,38,81,1002,264300,11,0,11,6,3,0,1,0,2,0,3,2,6,50,20538,1,0,1,10,4,1,0,1,2,2,4,4,6,50,18904,1,0,1,13,6,0,0,0,6,0,7,3,12,0,28,0,0,0,9,4,2,0,0,2,0,5,4,6,99,1794,2,0,2,6,6,0,0,2,4,0,0,3,4,0,214,0,0,0,3,3,0,0,1,2,0,0,3,6,0,85,0,0,0,14,4,1,1,0,2,2,8,3,7,513,124252,0,0,0,6,4,0,0,0,4,0,2,4,5,0,87,0,0,0,5,3,0,0,1,2,0,2,1,1,15,2412,0,0,0,9,6,1,1,1,3,0,3,9,20,270,94572,5,0,5,7,2,0,0,0,2,0,5,1,7,0,39,1,0,1,9,4,0,0,1,3,0,5,1,1,5,1375,1,0,1
32,2002,96,58,7,1,19,31,9,29,59,138,3957,821314,23,5,18,7,5,0,0,1,4,0,2,4,15,16,3592,3,2,1,7,6,1,0,3,2,0,1,5,13,200,7407,1,0,1,11,4,1,0,3,0,0,7,1,1,287,107244,1,0,1,5,5,2,0,1,2,0,0,16,32,1174,299296,1,0,1,7,4,0,1,2,1,1,2,4,7,55,5950,1,1,0,10,4,1,0,0,3,1,5,2,4,1998,296240,2,0,2,7,2,0,0,0,2,3,2,0,0,0,208,0,0,0,7,6,0,0,2,4,1,0,3,6,0,1446,0,0,0,7,4,0,0,2,2,1,2,5,8,25,7247,2,0,2,5,2,1,0,0,1,1,2,2,7,64,24639,1,0,1,10,6,0,0,2,4,0,4,4,18,1,1661,6,0,6,13,10,1,0,3,6,1,2,13,27,137,66384,5,2,3
33,2003,105,61,7,3,18,33,11,33,56,142,555,127209,15,2,13,17,11,5,0,3,3,1,5,21,54,420,74494,2,0,2,3,2,0,0,1,1,1,0,1,7,0,98,0,0,0,7,3,0,0,0,3,1,3,0,0,0,575,2,0,2,9,8,0,0,3,5,0,1,11,18,25,10224,3,1,2,5,3,0,0,1,2,0,2,1,2,0,7,0,0,0,14,8,0,0,1,7,2,4,4,10,0,68,2,0,2,9,8,0,1,3,4,0,1,5,17,20,15747,1,0,1,11,5,0,1,1,3,3,3,2,4,1,667,2,0,2,7,2,0,0,1,1,2,3,2,4,0,10278,1,0,1,9,2,0,0,1,1,0,7,1,1,10,3357,0,0,0,6,4,0,0,1,3,0,2,3,10,0,1128,1,0,1,8,5,2,1,2,0,1,2,5,15,79,10566,1,1,0
34,2004,94,37,5,5,8,19,6,51,54,153,981,179702,27,0,27,12,7,1,1,2,3,0,5,14,44,136,24640,2,0,2,9,2,0,1,1,0,2,5,3,9,98,22067,3,0,3,8,4,2,0,0,2,0,4,9,32,394,55980,3,0,3,9,4,0,0,1,3,0,5,5,15,0,582,5,0,5,4,3,0,1,0,2,0,1,3,8,89,33961,3,0,3,5,2,0,0,0,2,0,3,1,3,0,156,0,0,0,10,2,0,0,1,1,1,7,2,4,0,642,0,0,0,5,3,1,0,1,1,0,2,6,9,116,21162,5,0,5,9,4,0,1,1,2,0,5,4,8,28,4077,1,0,1,5,4,1,1,1,1,1,0,6,18,120,15793,3,0,3,5,1,0,0,0,1,2,2,0,0,0,641,0,0,0,13,1,0,0,0,1,0,12,1,3,0,1,2,0,2
35,2005,105,59,5,2,15,37,7,39,69,153,1339,144598,23,2,21,9,6,0,0,0,6,0,3,3,3,0,132,0,0,0,14,7,1,0,2,4,1,6,11,28,97,24513,4,1,3,7,3,0,1,1,1,0,4,3,5,80,7886,2,1,1,7,6,1,0,1,4,0,1,9,20,459,35209,1,0,1,6,1,0,1,0,0,1,4,1,2,33,4332,0,0,0,12,6,1,0,2,3,1,5,10,14,29,4080,1,0,1,12,7,0,0,2,5,1,4,9,19,30,3288,3,0,3,6,3,0,0,1,2,0,3,3,4,0,92,2,0,2,9,6,0,0,4,2,0,3,3,6,86,18152,4,0,4,8,3,0,0,1,2,2,3,1,1,0,263,0,0,0,5,5,1,0,1,3,0,0,6,17,349,27894,1,0,1,10,6,1,0,0,5,1,3,10,22,176,18757,5,0,5
36,2006,80,45,1,5,8,31,6,29,40,107,420,101187,17,3,14,11,10,0,2,1,7,0,1,9,19,141,46253,2,0,2,14,5,0,0,1,4,3,6,2,5,10,3434,2,0,2,5,2,0,0,1,1,0,3,2,6,0,492,0,0,0,7,3,1,1,0,1,0,4,11,35,147,18534,2,1,1,6,4,0,0,1,3,0,2,3,6,3,326,1,0,1,2,1,0,0,0,1,0,1,1,2,0,8,0,0,0,8,4,0,0,0,4,1,3,2,4,0,42,3,1,2,8,5,0,0,2,3,1,2,5,14,0,1402,2,0,2,3,1,0,0,0,1,0,2,0,0,0,27,0,0,0,4,3,0,0,1,2,0,1,1,3,10,540,0,0,0,9,6,0,2,0,4,1,2,3,10,99,27150,5,1,4,3,1,0,0,1,0,0,2,1,3,10,2979,0,0,0
37,2007,88,54,6,3,13,32,2,32,66,128,802,229978,26,4,22,10,7,1,0,1,5,0,3,6,15,69,9370,7,0,7,5,3,0,1,1,1,1,1,2,6,30,9504,2,2,0,9,6,2,0,2,2,0,3,10,19,242,29622,2,0,2,6,5,0,0,3,2,0,1,7,14,35,3657,6,0,6,9,7,0,1,0,6,0,2,13,15,57,15461,4,2,2,7,3,0,0,0,3,1,3,2,7,0,242,0,0,0,2,1,0,1,0,0,0,1,4,5,45,18981,0,0,0,5,3,0,0,1,2,0,2,1,1,10,86575,0,0,0,7,2,0,0,1,1,0,5,2,5,10,2230,0,0,0,9,5,0,0,2,3,0,4,4,9,15,2141,0,0,0,9,7,1,0,1,5,0,2,6,11,25,7098,0,0,0,10,5,2,0,1,2,0,5,9,21,264,45097,5,0,5
38,2008,88,50,2,4,14,30,0,38,59,114,609,155123,16,1,15,6,3,0,0,1,2,0,3,3,6,2,991,1,1,0,9,8,0,0,2,6,0,1,6,7,23,22178,2,0,2,6,2,0,0,0,2,0,4,2,6,0,74,0,0,0,10,6,0,1,2,3,0,4,6,15,113,21056,4,0,4,6,3,0,0,2,1,0,3,17,23,62,4464,1,0,1,5,3,0,0,0,3,0,2,2,3,0,3,0,0,0,3,2,0,0,0,2,0,1,2,3,0,0,0,0,0,10,5,0,0,0,5,0,5,3,10,0,12,0,0,0,8,4,0,1,2,1,0,4,2,7,60,20208,1,0,1,13,5,1,0,3,1,0,8,9,26,111,47042,3,0,3,4,4,0,1,0,3,0,0,3,4,30,5219,2,0,2,8,5,1,1,2,1,0,3,4,4,208,33876,2,0,2
39,2009,73,34,3,2,7,22,3,36,58,114,694,81023,14,1,13,5,2,0,0,1,1,0,3,2,3,0,72,1,0,1,7,3,1,1,0,1,0,4,15,35,224,54585,1,0,1,6,4,0,0,0,4,1,1,2,3,0,3,0,0,0,8,3,0,0,0,3,0,5,3,6,0,69,1,0,1,7,4,0,1,1,2,0,3,15,15,174,6352,2,0,2,2,2,0,0,1,1,0,0,3,4,5,1987,1,0,1,4,2,0,0,0,2,0,2,2,7,0,2416,0,0,0,3,2,0,0,1,1,1,0,2,6,3,2894,2,0,2,5,3,0,0,2,1,0,2,5,11,36,5497,4,1,3,9,3,1,0,1,1,0,6,0,0,198,3318,1,0,1,6,2,1,0,0,1,1,3,6,15,54,3827,0,0,0,11,4,0,0,0,4,0,7,3,9,0,3,1,0,1
40,2010,74,35,6,0,6,23,6,33,43,115,541,57727,11,4,7,9,4,2,0,1,1,0,5,7,22,7,1048,1,0,1,4,1,0,0,0,1,1,2,1,1,0,331,1,0,1,7,2,0,0,0,2,0,5,0,0,0,601,0,0,0,4,2,0,0,0,2,0,2,2,8,0,83,0,0,0,6,3,0,0,1,2,0,3,3,6,5,674,1,0,1,6,4,1,0,1,2,1,1,3,9,121,5509,0,0,0,6,3,1,0,0,2,1,2,3,11,70,22458,0,0,0,6,3,0,0,1,2,1,2,1,2,0,442,1,1,0,6,3,0,0,0,3,0,3,2,7,0,51,1,0,1,6,5,0,0,0,5,1,0,1,3,0,1059,1,0,1,6,2,0,0,2,0,0,4,5,5,33,3701,2,1,1,8,3,2,0,0,1,1,4,15,41,305,21775,3,2,1
41,2011,107,39,1,2,6,30,6,62,49,98,284,33105,23,1,22,11,7,0,0,2,5,0,4,8,14,0,227,2,0,2,9,3,0,0,0,3,0,6,2,4,0,3,1,0,1,14,5,0,0,1,4,0,9,17,36,80,5878,7,0,7,12,5,0,0,1,4,0,7,2,4,0,1620,1,0,1,6,2,1,0,0,1,0,4,5,7,80,1536,2,1,1,9,4,0,0,1,3,0,5,4,13,0,358,1,0,1,7,0,0,0,0,0,0,7,0,0,0,5,1,0,1,5,2,0,0,0,2,1,2,0,0,0,3,1,0,1,7,1,0,0,0,1,3,3,1,2,0,13,1,0,1,9,3,0,0,0,3,0,6,1,1,0,13,0,0,0,8,2,0,1,0,1,1,5,4,8,89,18617,4,0,4,10,5,0,1,1,3,1,4,5,9,35,4832,2,0,2
42,2012,85,36,1,5,6,24,11,38,35,86,330,106272,11,0,11,15,3,0,0,0,3,2,10,2,5,0,340,0,0,0,3,1,0,1,0,0,0,2,2,4,65,15389,0,0,0,7,1,0,0,0,1,1,5,0,0,0,14,0,0,0,5,3,0,1,1,1,1,1,7,10,158,57819,1,0,1,2,2,0,0,0,2,0,0,2,5,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,150,2,0,2,11,5,0,1,2,2,2,4,4,10,28,21235,4,0,4,9,2,0,0,0,2,2,5,1,1,0,214,0,0,0,7,5,0,0,1,4,1,1,4,10,2,1065,0,0,0,4,3,0,0,0,3,0,1,2,7,0,65,1,0,1,8,3,0,1,0,2,1,4,5,15,17,885,2,0,2,12,6,1,1,1,3,1,5,6,19,60,9096,1,0,1
43,2013,82,42,5,1,8,28,4,36,45,88,826,220799,22,1,21,14,8,2,0,1,5,1,5,11,20,259,74828,1,0,1,5,3,1,0,1,1,0,2,4,11,82,7417,3,0,3,14,4,0,0,0,4,0,10,1,1,0,49,0,0,0,6,5,1,0,1,3,0,1,7,18,306,112097,7,1,6,6,5,1,0,1,3,0,1,4,8,62,2162,4,0,4,5,3,0,0,1,2,0,2,1,1,20,6664,1,0,1,6,1,0,0,0,1,0,5,0,0,0,24,0,0,0,4,1,0,0,0,1,0,3,0,0,0,100,0,0,0,5,2,0,0,1,1,0,3,7,9,15,536,1,0,1,6,4,0,0,1,3,1,1,4,5,13,12812,2,0,2,6,3,0,0,0,3,2,1,3,8,0,54,2,0,2,5,3,0,1,1,1,0,2,3,7,69,4056,1,0,1
44,2014,79,50,3,1,6,40,8,21,30,61,299,84866,15,1,14,7,3,1,1,1,0,2,2,4,11,237,69537,3,0,3,8,5,0,0,0,5,0,3,5,7,0,62,0,0,0,8,4,0,0,0,4,0,4,1,2,0,79,1,0,1,9,6,0,0,3,3,1,2,6,13,0,1469,2,0,2,4,1,0,0,1,0,1,2,1,1,0,1739,1,0,1,2,1,0,0,0,1,1,0,1,1,0,252,1,0,1,6,3,1,0,0,2,1,2,2,5,32,535,0,0,0,3,2,0,0,0,2,0,1,2,3,0,1,1,0,1,8,5,0,0,0,5,1,2,1,2,0,6141,2,0,2,2,2,1,0,0,1,0,0,0,0,30,410,0,0,0,5,3,0,0,0,3,1,1,1,1,0,4492,2,0,2,17,15,0,0,1,14,0,2,6,15,0,149,2,1,1
45,2015,79,50,3,1,6,40,8,21,30,61,299,84866,15,1,14,7,3,1,1,1,0,2,2,4,11,237,69537,3,0,3,8,5,0,0,0,5,0,3,5,7,0,62,0,0,0,8,4,0,0,0,4,0,4,1,2,0,79,1,0,1,9,6,0,0,3,3,1,2,6,13,0,1469,2,0,2,4,1,0,0,1,0,1,2,1,1,0,1739,1,0,1,2,1,0,0,0,1,1,0,1,1,0,252,1,0,1,6,3,1,0,0,2,1,2,2,5,32,535,0,0,0,3,2,0,0,0,2,0,1,2,3,0,1,1,0,1,8,5,0,0,0,5,1,2,1,2,0,6141,2,0,2,2,2,1,0,0,1,0,0,0,0,30,410,0,0,0,5,3,0,0,0,3,1,1,1,1,0,4492,2,0,2,17,15,0,0,1,14,0,2,6,15,0,149,2,1,1
46,2016,76,43,1,1,4,37,5,28,33,59,179,49699,17,2,15,8,4,0,0,1,3,1,3,1,1,35,2765,3,0,3,7,5,1,1,1,2,0,2,8,16,134,18642,3,0,3,9,5,0,0,0,5,0,4,3,6,0,25212,1,0,1,11,6,0,0,1,5,1,4,6,9,0,300,0,0,0,5,1,0,0,0,1,1,3,1,1,0,1365,0,0,0,4,3,0,0,0,3,0,1,2,2,0,173,0,0,0,5,1,0,0,1,0,0,4,1,1,10,1185,0,0,0,2,2,0,0,0,2,0,0,2,4,0,1,1,0,1,2,1,0,0,0,1,1,0,0,0,0,0,2,2,0,7,4,0,0,0,4,0,3,3,5,0,50,4,0,4,7,6,0,0,0,6,0,1,2,5,0,4,2,0,2,9,5,0,0,0,5,1,3,2,4,0,1,1,0,1
47,2017,64,36,4,1,3,28,3,25,49,111,689,181531,7,0,7,10,7,0,0,2,5,0,3,4,8,0,49,1,0,1,9,8,1,0,0,7,0,1,9,16,101,40831,0,0,0,8,3,3,0,0,0,1,4,30,73,558,136760,2,0,2,2,1,0,0,0,1,0,1,0,0,0,2,0,0,0,5,3,0,0,0,3,0,2,1,4,0,102,0,0,0,2,2,0,0,0,2,0,0,1,2,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,18,0,0,0,4,2,0,0,1,1,0,2,1,1,0,374,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,8,3,0,0,0,3,0,5,2,6,0,1033,1,0,1,6,2,0,0,0,2,1,3,1,5,0,500,0,0,0,7,4,0,1,0,3,0,3,3,4,30,3639,2,0,2
