,年度（年）,三宅管内隻数（隻）,三宅管内トン数（トン）,三宅管内馬力数（馬力）,平均トン数（トン）,平均馬力数（馬力）
0,27,157,502.27,"12,425",3.19,79
1,28,156,510.4,"12,547",3.27,80
2,29,149,495.27,"12,537",3.32,84
3,30,147,504.7,"12,567",3.43,85
4,元,145,502.83,"12,860",3.47,89
