,一日中誰とも話さないことがありますか,被疑者65歳未満／男（N=31)(%),被疑者65歳未満／女（N=39）(%),被疑者65歳以上／男（N=23)(%),被疑者65歳以上／女（N=32)(%),一般65歳以上／男（N=667)(%),一般65歳以上／女（N=648)(%)
0,ある,51.6,33.3,43.5,46.9,12.4,14.8
1,ない,48.4,66.7,56.5,53.1,87.6,85.2
