,従属・説明変数,万引き／オッズ比,万引き／S.E.,万引き／z,万引き／95%信頼区間,Unnamed: 5,Unnamed: 6
0,配偶者等との同居ダミー,0.38,0.17,-2.22,"(0.16,0.89)",,
1,子供・孫との同居ダミー,0.30,0.14,-2.59,"(0.12,0.74)",,
2,家庭を築いてからの幸福体験,0.58,0.12,-2.6,"(0.38,0.87)",,
3,定数,4.34,1.77,3.6,"(1.95,9.64)",,
4,R2(Cox&Snell),0.19,,,,,
5,R2(Nagelkerke),0.25,,,,,
6,N,108,,,,,
7,モデルのカイ2乗検定,p<0.001,,,,,
