,学校名,学級数,児童数１年（人）,児童数２年（人）,児童数３年（人）,児童数４年（人）,児童数５年（人）,児童数６年（人）,児童数計（人）
0,三宅村立三宅小学校,6,15,14,12,17,12,8,78
1,御蔵島村立御蔵島小学校,4,4,3,2,5,0,2,16
