,”N“x,‚æ‚­‚ ‚é(%),‚Æ‚«‚Ç‚«‚ ‚é(%),‚Ù‚Æ‚ñ‚Ç‚È‚¢(%),‚Ü‚Á‚½‚­‚È‚¢(%),–³‰ñ“š(%)
0,24,3.3,31.3,49.1,15.5,0.9
1,19,4.0,35.1,48.7,11.4,0.8
2,14,3.8,29.2,47.8,16.9,2.3
3,9,3.1,27.9,46.3,22.2,0.5
