,樹種,27,28,29,30,元
0,スギ（ｈａ）,0,0,0,0,0
1,ヒノキ（ｈａ）,0,0,0,0,0
2,その他（ｈａ）,0,0,0,0,0
3,計（ｈａ）,0,0,0,0,0
