,区分,10～20歳代,30～40歳代,50歳代,60歳代,70歳代以上,全体(無回答除く）
0,参加人数（人）,5552,12269.0,14006.0,21883.0,16071,69781
1,参加人数割合(%),8,17.6,20.1,31.4,23,100
