,科目１,科目２,三宅村金額（千円）,三宅村比率（％）,御蔵島村金額（千円）,御蔵島村比率（％）
0,一般会計予算額,,2654313,100.0,1565938,100.0
1,教育費,,268981,10.1,84195,5.3
2,教育費の内訳,教育総務費,113898,42.4,24139,28.7
3,教育費の内訳,小学校費,39158,14.6,1543,1.9
4,教育費の内訳,中学校費,41796,15.5,4175,4.9
5,教育費の内訳,社会教育費,26753,9.9,9818,11.7
6,教育費の内訳,保健体育費,12216,4.5,691,0.8
7,教育費の内訳,校舎管理費,0,0.0,30439,36.1
8,教育費の内訳,学校給食費,35160,13.1,13390,15.9
