,区分,数量,数量／割合(%)
0,警察署や交番,239,39.0
1,区市町村,84,
2,近所（口コミなど）,290,48.0
3,都や区市町村の広報誌,183,
4,広報けいしちょう,138,
5,交番や警察署の広報誌,222,36.0
6,学校からのお知らせ,210,34.0
7,警察からの電子メール,160,
8,行政からの電子メール,151,
9,警察や行政のホームページ,58,
10,新聞、テレビのニュース,197,32.0
11,警察や行政のツイッター,10,
12,その他,77,
