,区分,人口,被保護世帯数,被保護人員,１７保護率（‰）,１８保護率（‰）
0,全国計,127720000,1058675,1494410,11.4,11.7
1,都計,12586642,145887,194219,15.1,15.4
2,区部計,8495135,110996,144699,16.6,17.0
3,市部計,4007285,34191,48491,11.7,12.1
4,郡部計,59264,434,689,11.8,11.6
5,島部計,25963,266,340,17.1,13.1
6,大島支庁,13973,113,141,11.4,10.1
7,三宅支庁,-,41,51,-,-
8,八丈支庁,8980,96,131,14.0,14.6
9,小笠原支庁,2720,16,17,5.9,6.3
